رمز المساق,رقم المساق,الشعبة,اسم المساق,الساعات,سعة القاعة,سبت,حد,ثن,ثل,ربع,خمس,جمع,وقت البداية,وقت النهاية,الحد الاقصى,الشعبة ملغاة,رمز القاعة,عدد المسجلين,المحاضر,طريقة  تدريس المساق
BIT,381,2,تطوير تطبيقات الانترنت (1),3,44,  ,  ,X,  ,X,  ,  ,02:00:00 PM,03:30:00 PM,45,لا,خز 116,43,عيسى الشهابات,وجاهي
BIT,381,3,تطوير تطبيقات الانترنت (1),3,49,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,45,لا,خز 117,35,عدنان الرواشده,وجاهي
BIT,381,4,تطوير تطبيقات الانترنت (1),3,49,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,52,لا,خز 117,52,احمد يوسف رواشدة,وجاهي
BIT,382,1,ادارة المعرفة,3,72,  ,X,  ,X,  ,X,  ,02:30:00 PM,03:30:00 PM,37,لا,خز 324,36,احمد يوسف رواشدة,وجاهي
BIT,385,1,تمثيل مرئي للبيانات,3,30,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,25,لا,خز 226,14,يسرى عبده حرب,وجاهي
BIT,386,1,تكنولوجيا  الويب,3,39,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,42,لا,م.ق 103,42,احمد يوسف رواشدة,وجاهي
BIT,480,1,نظم دعم القرار,3,55,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,31,لا,م.ق 208,29,يسرى عبده حرب,وجاهي
BIT,480L,1,مختبر نظم دعم القرار,1,33,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,34,لا,م.ق 102,34,يسرى عبده حرب,وجاهي
BIT,481,1,تطوير تطبيقات الانترنت (2),3,49,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,52,لا,خز 117,52,بلال ابوعطا,وجاهي
BIT,481,2,تطوير تطبيقات الانترنت (2),3,39,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,45,لا,م.ق 103,45,بلال ابوعطا,وجاهي
BIT,481,3,تطوير تطبيقات الانترنت (2),3,39,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,40,لا,م.ق 103,40,علي الزحراوي,وجاهي
BIT,483,1,ذكاء الاعمال,3,49,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,53,لا,خز 117,53,هبه خالد القرعان,وجاهي
BIT,483,2,ذكاء الاعمال,3,30,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,32,لا,خز 226,32,هبه خالد القرعان,وجاهي
BIT,499,1,مشروع تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,11,لا,0 Oline,6,بلال ابوعطا,إلكتروني
BIT,499,2,مشروع تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,11,لا,0 Oline,10,يسرى عبده حرب,إلكتروني
BIT,499,3,مشروع تخرج,3,300,  ,X,  ,X,  ,X,  ,05:30:00 PM,06:30:00 PM,16,لا,0 Oline,16,علاءالدين حمود,إلكتروني
CIS,120,1,مقدمة في نظم المعلومات والبرمجة,3,99,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,62,لا,خز 416,62,سهى ربابعه,مدمج
CIS,120,4,مقدمة في نظم المعلومات والبرمجة,3,72,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,57,لا,خز 424,49,غير محدد,مدمج
CIS,214,1,البرمجة المرئية,3,40,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,40,لا,خز 111,40,عبدالله الاخرس,وجاهي
CIS,214,2,البرمجة المرئية,3,44,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,45,لا,خز 116,45,عبدالله الاخرس,وجاهي
CIS,214,3,البرمجة المرئية,3,38,  ,  ,X,  ,X,  ,  ,02:00:00 PM,03:30:00 PM,38,لا,خز 107,33,غير محدد,وجاهي
CIS,240,1,مدخل الى هندسة البرمجيات,3,55,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,55,لا,م.ق 204,54,اياد العزام,وجاهي
CIS,240,2,مدخل الى هندسة البرمجيات,3,55,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,55,لا,م.ق 204,55,اياد العزام,وجاهي
